SatSolver,domain.pddl,p17.pddl,26,262400
SatSolver,domain.pddl,p18.pddl,22,18030
SatSolver,domain.pddl,p19.pddl,-1,539914
SatSolver,domain.pddl,p20.pddl,-1,564008
SatSolver,domain.pddl,p21.pddl,-1,485125
SatSolver,domain.pddl,p22.pddl,-1,706508
SatSolver,domain.pddl,p23.pddl,-1,572167
SatSolver,domain.pddl,p24.pddl,-1,679793
SatSolver,domain.pddl,p25.pddl,-1,527154
SatSolver,domain.pddl,p26.pddl,-1,533800
SatSolver,domain.pddl,p27.pddl,-1,658048
SatSolver,domain.pddl,p28.pddl,-1,684073
SatSolver,domain.pddl,p29.pddl,-1,592242
SatSolver,domain.pddl,p30.pddl,-1,670093
ASP,domain.pddl,p01.pddl,10,11
ASP,domain.pddl,p02.pddl,15,72
ASP,domain.pddl,p03.pddl,29,2706
ASP,domain.pddl,p04.pddl,30,182432
ASP,domain.pddl,p07.pddl,21,1391
ASP,domain.pddl,p10.pddl,25,19233
SatSolver,domain.pddl,p01.pddl,9,275
SatSolver,domain.pddl,p02.pddl,14,4315
SatSolver,domain.pddl,p03.pddl,-1,785570
SatSolver,domain.pddl,p04.pddl,-1,673830
SatSolver,domain.pddl,p05.pddl,-1,675559
SatSolver,domain.pddl,p07.pddl,-1,700059
SatSolver,domain.pddl,p08.pddl,-1,540778
SatSolver,domain.pddl,p10.pddl,-1,515337
SatSolver,domain.pddl,p13.pddl,-1,721532
SatSolver,domain.pddl,p16.pddl,-1,630161
ASP,domain.pddl,p01.pddl,11,21
ASP,domain.pddl,p02.pddl,17,200
ASP,domain.pddl,p03.pddl,23,846
ASP,domain.pddl,p04.pddl,29,2332
ASP,domain.pddl,p05.pddl,35,13591
ASP,domain.pddl,p06.pddl,41,117817
ASP,domain.pddl,p07.pddl,47,1718993
SatSolver,domain.pddl,p01.pddl,9,433
SatSolver,domain.pddl,p02.pddl,13,16963
SatSolver,domain.pddl,p03.pddl,17,406091
SatSolver,domain.pddl,p04.pddl,-1,1950270
SatSolver,domain.pddl,p05.pddl,-1,390805
SatSolver,domain.pddl,p06.pddl,-1,471757
SatSolver,domain.pddl,p07.pddl,-1,575433
SatSolver,domain.pddl,p08.pddl,-1,472140
SatSolver,domain.pddl,p09.pddl,-1,362797
ASP,domain.pddl,p01.pddl,20,480
ASP,domain.pddl,p02.pddl,19,261
ASP,domain.pddl,p03.pddl,15,138
ASP,domain.pddl,p04.pddl,27,2497
ASP,domain.pddl,p05.pddl,17,502
ASP,domain.pddl,p06.pddl,8,21
ASP,domain.pddl,p07.pddl,25,1165
ASP,domain.pddl,p08.pddl,14,83
ASP,domain.pddl,p09.pddl,25,1837
ASP,domain.pddl,p10.pddl,24,1043
ASP,domain.pddl,p11.pddl,36,62377
ASP,domain.pddl,p13.pddl,31,26680
ASP,domain.pddl,p15.pddl,36,81720
ASP,domain.pddl,p16.pddl,30,9400
SatSolver,domain.pddl,p01.pddl,9,493
SatSolver,domain.pddl,p02.pddl,17,1636
SatSolver,domain.pddl,p03.pddl,13,370
SatSolver,domain.pddl,p04.pddl,25,315248
SatSolver,domain.pddl,p05.pddl,16,4539
SatSolver,domain.pddl,p06.pddl,7,204
SatSolver,domain.pddl,p07.pddl,23,216211
SatSolver,domain.pddl,p08.pddl,12,527
SatSolver,domain.pddl,p09.pddl,23,98414
SatSolver,domain.pddl,p10.pddl,22,26817
SatSolver,domain.pddl,p11.pddl,-1,441774
SatSolver,domain.pddl,p12.pddl,-1,705668
SatSolver,domain.pddl,p13.pddl,-1,699371
SatSolver,domain.pddl,p14.pddl,-1,844417
